"","package","version","source"
"1","AnnotationDbi","1.52.0","Bioconductor"
"2","AnnotationHub","2.22.0","Bioconductor"
"3","BH","1.75.0-0","CRAN"
"4","Biobase","2.50.0","Bioconductor"
"5","BiocFileCache","1.14.0","Bioconductor"
"6","BiocGenerics","0.36.0","Bioconductor"
"7","BiocManager","1.30.10","CRAN"
"8","BiocParallel","1.24.1","Bioconductor"
"9","BiocVersion","3.12.0","Bioconductor"
"10","Cairo","1.5-12.2","CRAN"
"11","ComplexHeatmap","2.6.2","Bioconductor"
"12","DBI","1.1.1","CRAN"
"13","DT","0.17","CRAN"
"14","DelayedArray","0.16.1","Bioconductor"
"15","ExperimentHub","1.16.0","Bioconductor"
"16","FNN","1.1.3","CRAN"
"17","GEOquery","2.58.0","Bioconductor"
"18","GenomeInfoDb","1.26.2","Bioconductor"
"19","GenomeInfoDbData","1.2.4","Bioconductor"
"20","GenomicRanges","1.42.0","Bioconductor"
"21","GetoptLong","1.0.5","CRAN"
"22","GlobalOptions","0.1.2","CRAN"
"23","IRanges","2.24.1","Bioconductor"
"24","KernSmooth","2.23-18","CRAN"
"25","MASS","7.3-53","CRAN"
"26","Matrix","1.3-2","CRAN"
"27","MatrixGenerics","1.2.1","Bioconductor"
"28","R.methodsS3","1.8.1","CRAN"
"29","R.oo","1.24.0","CRAN"
"30","R.utils","2.10.1","CRAN"
"31","R6","2.5.0","CRAN"
"32","RANN","2.6.1","CRAN"
"33","RColorBrewer","1.1-2","CRAN"
"34","RCurl","1.98-1.2","CRAN"
"35","ROCR","1.0-11","CRAN"
"36","RSQLite","2.2.3","CRAN"
"37","RSpectra","0.16-0","CRAN"
"38","Rcpp","1.0.6","CRAN"
"39","RcppAnnoy","0.0.18","CRAN"
"40","RcppArmadillo","0.10.1.2.2","CRAN"
"41","RcppEigen","0.3.3.9.1","CRAN"
"42","RcppProgress","0.4.2","CRAN"
"43","Rtsne","0.15","CRAN"
"44","S4Vectors","0.28.1","Bioconductor"
"45","Seurat","4.0.0","CRAN"
"46","SeuratObject","4.0.0","CRAN"
"47","SingleCellExperiment","1.12.0","Bioconductor"
"48","SummarizedExperiment","1.20.0","Bioconductor"
"49","XVector","0.30.0","Bioconductor"
"50","abind","1.4-5","CRAN"
"51","askpass","1.1","CRAN"
"52","assertthat","0.2.1","CRAN"
"53","backports","1.2.1","CRAN"
"54","base64enc","0.1-3","CRAN"
"55","bit","4.0.4","CRAN"
"56","bit64","4.0.5","CRAN"
"57","bitops","1.0-6","CRAN"
"58","blob","1.2.1","CRAN"
"59","brio","1.1.1","CRAN"
"60","broom","0.7.4","CRAN"
"61","bslib","0.2.4","CRAN"
"62","bsplus","0.1.2","CRAN"
"63","caTools","1.18.1","CRAN"
"64","cachem","1.0.1","CRAN"
"65","callr","3.5.1","CRAN"
"66","cellranger","1.1.0","CRAN"
"67","circlize","0.4.12","CRAN"
"68","cli","2.3.0","CRAN"
"69","clipr","0.7.1","CRAN"
"70","clue","0.3-58","CRAN"
"71","cluster","2.1.0","CRAN"
"72","clustifyr","1.3.2","github"
"73","clustifyrdatahub","1.0.0","Bioconductor"
"74","codetools","0.2-18","CRAN"
"75","colorspace","2.0-0","CRAN"
"76","commonmark","1.7","CRAN"
"77","cowplot","1.1.1","CRAN"
"78","cpp11","0.2.6","CRAN"
"79","crayon","1.4.0","CRAN"
"80","crosstalk","1.1.1","CRAN"
"81","curl","4.3","CRAN"
"82","dashboardthemes","1.1.3","CRAN"
"83","data.table","1.13.6","CRAN"
"84","dbplyr","2.1.0","CRAN"
"85","deldir","0.2-9","CRAN"
"86","desc","1.2.0","CRAN"
"87","diffobj","0.3.3","CRAN"
"88","digest","0.6.27","CRAN"
"89","dplyr","1.0.4","CRAN"
"90","dqrng","0.2.1","CRAN"
"91","ellipsis","0.3.1","CRAN"
"92","entropy","1.2.1","CRAN"
"93","evaluate","0.14","CRAN"
"94","fansi","0.4.2","CRAN"
"95","farver","2.0.3","CRAN"
"96","fastmap","1.1.0","CRAN"
"97","fastmatch","1.1-0","CRAN"
"98","fgsea","1.16.0","Bioconductor"
"99","fitdistrplus","1.1-3","CRAN"
"100","forcats","0.5.1","CRAN"
"101","formatR","1.7","CRAN"
"102","fs","1.5.0","CRAN"
"103","futile.logger","1.4.3","CRAN"
"104","futile.options","1.0.1","CRAN"
"105","future","1.21.0","CRAN"
"106","future.apply","1.7.0","CRAN"
"107","gargle","0.5.0","CRAN"
"108","generics","0.1.0","CRAN"
"109","ggplot2","3.3.3","CRAN"
"110","ggrepel","0.9.1","CRAN"
"111","ggridges","0.5.3","CRAN"
"112","globals","0.14.0","CRAN"
"113","glue","1.4.2","CRAN"
"114","goftest","1.2-2","CRAN"
"115","googledrive","1.0.1","CRAN"
"116","googlesheets4","0.2.0","CRAN"
"117","gplots","3.1.1","CRAN"
"118","gridExtra","2.3","CRAN"
"119","gtable","0.3.0","CRAN"
"120","gtools","3.8.2","CRAN"
"121","haven","2.3.1","CRAN"
"122","highr","0.8","CRAN"
"123","hms","1.0.0","CRAN"
"124","htmltools","0.5.1.1","CRAN"
"125","htmlwidgets","1.5.3","CRAN"
"126","httpuv","1.5.5","CRAN"
"127","httr","1.4.2","CRAN"
"128","ica","1.0-2","CRAN"
"129","ids","1.0.1","CRAN"
"130","igraph","1.2.6","CRAN"
"131","interactiveDisplayBase","1.28.0","Bioconductor"
"132","irlba","2.3.3","CRAN"
"133","isoband","0.2.3","CRAN"
"134","jquerylib","0.1.3","CRAN"
"135","jsonlite","1.7.2","CRAN"
"136","knitr","1.31","CRAN"
"137","labeling","0.4.2","CRAN"
"138","lambda.r","1.2.4","CRAN"
"139","later","1.1.0.1","CRAN"
"140","lattice","0.20-41","CRAN"
"141","lazyeval","0.2.2","CRAN"
"142","leiden","0.3.7","CRAN"
"143","lifecycle","0.2.0","CRAN"
"144","limma","3.46.0","Bioconductor"
"145","listenv","0.8.0","CRAN"
"146","lmtest","0.9-38","CRAN"
"147","lubridate","1.7.9.2","CRAN"
"148","magrittr","2.0.1","CRAN"
"149","markdown","1.1","CRAN"
"150","matrixStats","0.58.0","CRAN"
"151","memoise","2.0.0","CRAN"
"152","mgcv","1.8-33","CRAN"
"153","mime","0.9","CRAN"
"154","miniUI","0.1.1.1","CRAN"
"155","modelr","0.1.8","CRAN"
"156","munsell","0.5.0","CRAN"
"157","nlme","3.1-151","CRAN"
"158","openssl","1.4.3","CRAN"
"159","openxlsx","4.2.3","CRAN"
"160","packrat","0.5.0","CRAN"
"161","parallelly","1.23.0","CRAN"
"162","patchwork","1.1.1","CRAN"
"163","pbapply","1.4-3","CRAN"
"164","pheatmap","1.0.12","CRAN"
"165","pillar","1.4.7","CRAN"
"166","pkgbuild","1.2.0","CRAN"
"167","pkgconfig","2.0.3","CRAN"
"168","pkgload","1.1.0","CRAN"
"169","plogr","0.2.0","CRAN"
"170","plotly","4.9.3","CRAN"
"171","plyr","1.8.6","CRAN"
"172","png","0.1-7","CRAN"
"173","polyclip","1.10-0","CRAN"
"174","praise","1.0.0","CRAN"
"175","prettyunits","1.1.1","CRAN"
"176","processx","3.4.5","CRAN"
"177","progress","1.2.2","CRAN"
"178","promises","1.1.1","CRAN"
"179","proxy","0.4-24","CRAN"
"180","ps","1.5.0","CRAN"
"181","purrr","0.3.4","CRAN"
"182","rappdirs","0.3.3","CRAN"
"183","readr","1.4.0","CRAN"
"184","readxl","1.3.1","CRAN"
"185","rematch","1.0.1","CRAN"
"186","rematch2","2.1.2","CRAN"
"187","remotes","2.2.0","CRAN"
"188","reprex","1.0.0","CRAN"
"189","reshape2","1.4.4","CRAN"
"190","reticulate","1.18","CRAN"
"191","rjson","0.2.20","CRAN"
"192","rlang","0.4.10","CRAN"
"193","rmarkdown","2.6","CRAN"
"194","rpart","4.1-15","CRAN"
"195","rprojroot","2.0.2","CRAN"
"196","rsconnect","0.8.16","CRAN"
"197","rstudioapi","0.13","CRAN"
"198","rvest","0.3.6","CRAN"
"199","sass","0.3.1","CRAN"
"200","scales","1.1.1","CRAN"
"201","scattermore","0.7","CRAN"
"202","sctransform","0.3.2","CRAN"
"203","selectr","0.4-2","CRAN"
"204","shape","1.4.5","CRAN"
"205","shiny","1.6.0","CRAN"
"206","shinyWidgets","0.5.7","CRAN"
"207","shinydashboard","0.7.1","CRAN"
"208","shinyjs","2.0.0","CRAN"
"209","sitmo","2.0.1","CRAN"
"210","snow","0.4-3","CRAN"
"211","sourcetools","0.1.7","CRAN"
"212","spatstat","1.64-1","CRAN"
"213","spatstat.data","1.7-0","CRAN"
"214","spatstat.utils","2.0-0","CRAN"
"215","stringi","1.5.3","CRAN"
"216","stringr","1.4.0","CRAN"
"217","survival","3.2-7","CRAN"
"218","sys","3.4","CRAN"
"219","tensor","1.5","CRAN"
"220","testthat","3.0.1","CRAN"
"221","tibble","3.0.6","CRAN"
"222","tidyr","1.1.2","CRAN"
"223","tidyselect","1.1.0","CRAN"
"224","tidyverse","1.3.0","CRAN"
"225","tinytex","0.29","CRAN"
"226","utf8","1.1.4","CRAN"
"227","uuid","0.1-4","CRAN"
"228","uwot","0.1.10","CRAN"
"229","vctrs","0.3.6","CRAN"
"230","viridisLite","0.3.0","CRAN"
"231","waiter","0.2.0","CRAN"
"232","waldo","0.2.3","CRAN"
"233","withr","2.4.1","CRAN"
"234","xfun","0.20","CRAN"
"235","xml2","1.3.2","CRAN"
"236","xtable","1.8-4","CRAN"
"237","yaml","2.2.1","CRAN"
"238","zip","2.1.1","CRAN"
"239","zlibbioc","1.36.0","Bioconductor"
"240","zoo","1.8-8","CRAN"
